Study_ID,n_pages,raw_chars,cleaned_body_chars,cleaned_body_words,removed_header_footer_lines,removed_boilerplate_lines,sections_detected,section_segmentation_fallback
S71,7,20278,11348,1674,14,2,Introduction;Related Work;Results,False
S66,23,44453,34994,5158,32,20,Introduction;Background;Methodology;Related Work;Conclusion,False
S70,12,70654,51193,7411,23,149,Introduction;Methodology;Results;Discussion;Related Work;Conclusion,False
S65,7,38103,29261,4294,0,37,Introduction;Methodology;Results;Conclusion,False
S01,6,33033,25934,3799,12,14,Introduction;Background;Related Work;Discussion;Conclusion,False
S02,9,34481,26184,3676,0,2,Introduction;Related Work;Methodology;Results,False
S03,12,67735,52925,7855,12,33,Introduction;Background;Methodology;Discussion;Related Work;Conclusion,False
S05,7,37638,29025,4415,7,14,Introduction;Methodology;Results;Related Work,False
S06,10,42402,32086,4951,40,12,Introduction,False
S07,10,28876,16307,2591,9,31,Introduction;Conclusion,False
S08,41,118443,103044,15043,40,7,Introduction;Background;Results;Discussion;Conclusion,False
S09,27,98020,77453,12014,53,60,Introduction;Methodology;Results;Discussion;Related Work;Conclusion,False
S10,9,58235,47825,7001,23,23,Introduction;Methodology;Related Work,False
S11,7,28588,16797,2573,0,6,Introduction;Methodology;Discussion,False
S12,5,31381,25559,3920,5,1,Introduction;Related Work;Conclusion,False
S13,12,64384,54417,8469,23,205,Introduction;Related Work;Results;Methodology,False
S14,22,83455,66712,9998,43,28,Introduction;Related Work;Methodology;Results;Discussion;Conclusion,False
S15,11,62655,49042,7208,32,46,Introduction;Related Work;Background;Methodology;Results;Discussion;Conclusion,False
S16,9,49357,38411,5911,18,57,Introduction;Background;Methodology;Conclusion,False
S17,48,151833,129388,20101,47,301,Introduction;Background;Methodology;Results;Related Work;Discussion;Conclusion,False
S18,5,29163,20010,2978,13,42,Introduction;Methodology;Discussion;Related Work;Conclusion,False
S19,8,42493,36682,5791,8,22,Introduction;Related Work;Results;Conclusion,False
S20,34,82847,63137,9013,33,175,Introduction;Related Work;Methodology;Results;Conclusion,False
S21,10,34926,26924,4175,0,20,Introduction;Results;Methodology;Conclusion,False
S22,9,34711,25988,4055,0,17,Introduction;Related Work;Discussion,False
S23,9,45721,34349,4968,0,29,Introduction;Related Work;Results;Conclusion;Discussion,False
S24,10,43541,33372,4909,0,29,Introduction;Related Work;Methodology;Results,False
S25,18,69002,37983,5708,18,103,Introduction;Related Work;Conclusion,False
S61,10,61973,47504,7597,19,20,Introduction;Background;Results;Conclusion,False
S26,23,77757,57999,8962,45,33,Introduction;Methodology;Results;Related Work;Conclusion,False
S27,11,67757,54695,8090,39,22,Introduction;Related Work;Methodology;Results;Discussion;Conclusion,False
S28,10,38295,27557,4265,0,11,Introduction;Background;Methodology;Related Work;Conclusion,False
S29,11,65611,51487,7572,28,58,Introduction;Related Work;Results;Discussion;Conclusion,False
S30,18,61302,45080,6412,35,58,Introduction;Related Work;Background;Methodology;Results;Discussion;Conclusion,False
S31,22,72462,49278,7433,0,202,Introduction;Results;Related Work;Conclusion;Discussion;Methodology,False
S32,13,95837,67914,9592,38,58,Introduction;Background;Methodology;Results;Discussion;Related Work;Conclusion,False
S33,7,43829,29796,4736,18,9,Introduction;Related Work;Methodology;Results;Discussion;Conclusion,False
S34,18,78147,70315,9711,18,23,Introduction;Results;Discussion;Conclusion,False
S35,12,32079,17502,2643,11,25,Introduction;Results,False
S36,18,90664,54857,8079,0,109,Introduction;Results;Discussion;Conclusion,False
S38,10,32880,27150,4308,19,55,Introduction;Related Work;Methodology;Results;Discussion,False
S39,6,32470,23671,3602,6,8,Introduction;Background;Methodology;Results;Discussion;Related Work;Conclusion,False
S40,5,29487,23330,4076,5,2,Introduction;Related Work;Methodology;Results;Discussion,False
S41,6,28569,17535,2589,6,102,Introduction;Conclusion,False
S43,18,117830,93752,14302,18,529,Introduction;Results;Methodology;Discussion;Related Work;Conclusion,False
S42,16,113890,77673,12602,24,47,Introduction;Related Work;Methodology;Conclusion,False
S44,6,27547,20485,3290,15,16,Introduction;Related Work;Conclusion,False
S45,27,100825,81382,12936,53,14,Introduction;Methodology;Related Work,False
S46,19,35525,17773,2504,24,0,Introduction,False
S62,39,147445,114620,18270,77,39,Introduction;Related Work;Methodology;Conclusion,False
S63,5,24161,18832,2830,5,10,Introduction;Results;Discussion;Conclusion,False
S47,13,81600,56805,7704,0,10,Introduction;Background;Results;Discussion;Conclusion,False
S48,15,86833,82200,12828,0,38,Introduction;Results;Related Work;Discussion;Conclusion,False
S49,7,33773,12726,2066,12,13,Methodology;Results,False
S50,37,199097,167161,26848,74,441,Introduction;Background;Discussion;Related Work;Conclusion,False
S51,18,60490,44514,6684,0,56,Introduction;Methodology;Related Work;Discussion;Conclusion;Results,False
S64,31,72111,61964,9871,30,68,Introduction;Methodology;Conclusion,False
S52,19,113981,92567,13763,19,90,Introduction;Background;Discussion;Related Work;Conclusion,False
S53,12,68607,55563,8460,36,41,Introduction;Methodology;Related Work;Discussion;Conclusion,False
S54,9,33220,25452,3925,17,27,Introduction;Results;Conclusion,False
S55,4,23917,17195,2662,8,139,Introduction;Related Work;Methodology;Results;Conclusion,False
S56,22,71780,60292,9596,11,108,Introduction;Results;Conclusion,False
S57,11,65068,54147,8720,11,191,Introduction;Related Work;Conclusion,False
S58,22,106163,67251,9957,0,158,Introduction;Background;Related Work,False
S59,12,71598,52698,7600,0,104,Introduction;Methodology;Discussion;Related Work;Conclusion,False
S60,22,78632,58381,8438,22,17,Introduction;Results;Discussion,False
