term,corpus_frequency,document_frequency,document_frequency_pct,standard_stopword,domain_specific,candidate_for_removal,reason
code,644,60,0.9091,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
large,143,52,0.7879,False,False,True,appears in 79% of documents - candidate for high-frequency review
language,209,52,0.7879,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
generate,214,50,0.7576,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
model,202,49,0.7424,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
generation,271,48,0.7273,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
llms,160,44,0.6667,False,False,True,appears in 67% of documents - candidate for high-frequency review
llm,127,42,0.6364,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
programming,156,40,0.6061,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
study,104,40,0.6061,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
base,125,39,0.5909,False,False,True,appears in 59% of documents - candidate for high-frequency review
software,201,37,0.5606,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
task,103,35,0.5303,False,False,True,appears in 53% of documents - candidate for high-frequency review
chatgpt,207,31,0.4697,False,False,False,
result,77,31,0.4697,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
paper,46,30,0.4545,False,False,False,
provide,62,30,0.4545,False,False,False,
work,50,29,0.4394,False,False,False,
engineering,58,29,0.4394,False,False,False,
research,55,28,0.4242,False,False,False,
use,47,26,0.3939,False,False,False,
performance,52,26,0.3939,False,False,False,
models,35,26,0.3939,False,False,False,
development,102,25,0.3788,False,False,False,
demonstrate,39,25,0.3788,False,False,False,
propose,38,24,0.3636,False,False,False,
potential,38,24,0.3636,False,False,False,
improve,42,24,0.3636,False,False,False,
tool,77,23,0.3485,False,False,False,
include,45,23,0.3485,False,False,False,
process,59,23,0.3485,False,False,False,
prompt,117,22,0.3333,False,False,False,
evaluate,36,22,0.3333,False,False,False,
challenge,30,22,0.3333,False,False,False,
finding,28,22,0.3333,False,False,False,
explore,33,22,0.3333,False,False,False,
different,39,22,0.3333,False,False,False,
design,45,22,0.3333,False,False,False,
conduct,35,21,0.3182,False,False,False,
quality,63,21,0.3182,False,False,False,
analysis,45,21,0.3182,False,False,False,
problem,48,21,0.3182,False,False,False,
dataset,37,21,0.3182,False,False,False,
significant,31,20,0.303,False,False,False,
user,56,20,0.303,False,False,False,
present,40,20,0.303,False,False,False,
human,38,20,0.303,False,False,False,
case,40,19,0.2879,False,False,False,
enhance,24,19,0.2879,False,False,False,
developer,43,18,0.2727,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
investigate,23,18,0.2727,False,False,False,
solution,47,18,0.2727,False,False,False,
method,61,18,0.2727,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
find,22,18,0.2727,False,False,False,
natural,34,18,0.2727,False,False,False,
experiment,27,18,0.2727,False,False,False,
evaluation,36,18,0.2727,False,False,False,
hallucination,107,18,0.2727,False,False,False,
test,63,17,0.2576,False,False,False,
show,23,17,0.2576,True,False,False,
type,48,17,0.2576,False,False,False,
capability,33,17,0.2576,False,False,False,
issue,33,17,0.2576,False,False,False,
new,40,17,0.2576,False,False,False,
benchmark,31,16,0.2424,False,False,False,
need,37,16,0.2424,False,False,False,
correct,35,16,0.2424,False,False,False,
specific,61,16,0.2424,False,False,False,
