representation,passes,iterations,effort,mean_js_vs_next,mean_dom_agreement_vs_next,n_fits,wall_seconds
fulltext,10,200,2000,0.94014,0.96162,15,0.8
fulltext,10,400,4000,0.89518,0.91919,15,0.7
fulltext,20,200,4000,0.95847,0.96869,15,0.7
fulltext,30,200,6000,0.85463,0.88384,15,0.7
fulltext,10,800,8000,0.90868,0.93737,15,0.8
fulltext,20,400,8000,0.8784,0.90808,15,0.7
fulltext,50,200,10000,0.82296,0.85253,15,0.8
fulltext,10,1200,12000,0.8728,0.90101,15,0.8
fulltext,30,400,12000,0.92904,0.95556,15,0.7
fulltext,20,800,16000,0.89312,0.92323,15,0.7
fulltext,50,400,20000,0.88813,0.91818,15,0.8
fulltext,20,1200,24000,0.94835,0.95758,15,0.9
fulltext,30,800,24000,0.97741,0.98889,15,0.8
fulltext,30,1200,36000,0.93942,0.95859,15,0.8
fulltext,50,800,40000,0.97359,0.9899,15,0.7
fulltext,50,1200,60000,,,15,0.0
