reference_k,reference_topic,compared_k,compared_topic,js_similarity,cosine,top20_jaccard
8,0,9,0,0.6018,0.7942,0.4815
8,1,9,3,0.5258,0.7522,0.3333
8,2,9,1,0.5316,0.6446,0.25
8,3,9,5,0.628,0.8344,0.25
8,4,9,7,0.3736,0.2312,0.0811
8,5,9,4,0.7533,0.9497,0.5385
8,6,9,8,0.6709,0.9374,0.4815
8,7,9,6,0.4072,0.3947,0.0811
8,0,12,0,0.5954,0.7385,0.4815
8,1,12,6,0.3908,0.3581,0.0811
8,2,12,10,0.4892,0.6399,0.2121
8,3,12,8,0.6437,0.8683,0.2903
8,4,12,9,0.4442,0.3148,0.0526
8,5,12,5,0.6549,0.9312,0.3793
8,6,12,2,0.635,0.9152,0.5385
8,7,12,7,0.6344,0.8916,0.4815
8,0,13,0,0.6115,0.7983,0.4815
8,1,13,6,0.6407,0.9394,0.4286
8,2,13,10,0.4875,0.6373,0.2121
8,3,13,8,0.6896,0.9184,0.4286
8,4,13,9,0.4397,0.3089,0.0256
8,5,13,5,0.6827,0.9526,0.4286
8,6,13,2,0.6333,0.9149,0.5385
8,7,13,7,0.633,0.8916,0.4815
8,0,14,4,0.5995,0.8556,0.4815
8,1,14,5,0.6991,0.9692,0.6
8,2,14,0,0.4783,0.6137,0.25
8,3,14,9,0.6005,0.8199,0.25
8,4,14,2,0.4599,0.7885,0.1429
8,5,14,8,0.5558,0.8127,0.2121
8,6,14,11,0.5781,0.7867,0.4815
8,7,14,10,0.614,0.8795,0.4815
8,0,15,4,0.5875,0.7765,0.4815
8,1,15,5,0.5845,0.8582,0.3793
8,2,15,0,0.5135,0.6924,0.2903
8,3,15,9,0.5935,0.8105,0.25
8,4,15,2,0.4571,0.7803,0.1111
8,5,15,8,0.5437,0.776,0.1765
8,6,15,11,0.6158,0.8513,0.4815
8,7,15,10,0.6129,0.8794,0.4815
