representation,hf_variant,bigrams,no_below,no_above,vocab_size,pct_vocab_removed,empty_docs,avg_doc_vocab,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_diversity,mean_stability,sd_stability,n_fits,wall_seconds
fulltext,A,False,2,0.4,3798,59.5,0,390.79,0.34171,0.03035,-0.24243,0.02684,0.8128,0.46264,0.04606,15,193.3
fulltext,A,False,2,0.5,3962,57.75,0,465.0,0.35021,0.03265,-0.1753,0.01772,0.77316,0.47802,0.04609,15,219.6
fulltext,A,False,2,0.6,4082,56.47,0,531.67,0.37246,0.03047,-0.12269,0.01749,0.76542,0.50803,0.06048,15,237.8
fulltext,A,False,2,0.7,4187,55.35,0,599.82,0.35545,0.03931,-0.0773,0.01547,0.71893,0.51677,0.05159,15,228.9
fulltext,A,False,2,0.75,4222,54.97,0,625.39,0.39124,0.04841,-0.04546,0.01896,0.72498,0.52718,0.05877,15,80.5
fulltext,A,False,2,0.8,4254,54.63,0,650.03,0.38635,0.0433,-0.04053,0.01358,0.72151,0.54016,0.04416,15,156.0
fulltext,A,False,2,0.9,4325,53.88,0,710.42,0.39713,0.03215,-0.0023,0.00739,0.64729,0.55278,0.07054,15,451.6
fulltext,A,False,2,1.0,4378,53.31,0,761.18,0.36316,0.02684,0.00641,0.0121,0.50329,0.57135,0.07466,15,590.4
fulltext,A,False,3,0.4,2724,70.95,0,358.24,0.33986,0.02605,-0.23756,0.02144,0.80844,0.46506,0.04751,15,197.2
fulltext,A,False,3,0.5,2888,69.2,0,432.45,0.35076,0.02772,-0.16694,0.02164,0.77422,0.49503,0.068,15,216.9
fulltext,A,False,3,0.6,3008,67.92,0,499.12,0.35057,0.04368,-0.12742,0.01452,0.756,0.50127,0.05796,15,240.0
fulltext,A,False,3,0.7,3113,66.8,0,567.27,0.36301,0.02939,-0.07269,0.0108,0.7144,0.52859,0.06247,15,263.8
fulltext,A,False,3,0.75,3148,66.43,0,592.85,0.3979,0.04173,-0.04288,0.01223,0.7288,0.53749,0.05698,15,280.4
fulltext,A,False,3,0.8,3180,66.09,0,617.48,0.3771,0.0369,-0.03803,0.01413,0.7112,0.5488,0.05182,15,353.2
fulltext,A,False,3,0.9,3251,65.33,0,677.88,0.37511,0.04623,-0.0085,0.01542,0.63636,0.56707,0.04447,15,390.0
fulltext,A,False,3,1.0,3304,64.76,0,728.64,0.36553,0.02142,0.0056,0.0069,0.48809,0.5832,0.05536,15,579.2
fulltext,A,False,4,0.4,2188,76.67,0,333.88,0.34358,0.03095,-0.23568,0.0206,0.81218,0.46614,0.05547,15,191.9
fulltext,A,False,4,0.5,2352,74.92,0,408.09,0.32868,0.04081,-0.17963,0.0234,0.76453,0.4869,0.06041,15,159.9
fulltext,A,False,4,0.6,2472,73.64,0,474.76,0.37521,0.02517,-0.11737,0.01085,0.75662,0.52777,0.04289,15,176.3
fulltext,A,False,4,0.7,2577,72.52,0,542.91,0.39406,0.03778,-0.06179,0.00877,0.72169,0.53105,0.06194,15,302.5
fulltext,A,False,4,0.75,2612,72.14,0,568.48,0.40097,0.03229,-0.03836,0.01058,0.72329,0.56512,0.0531,15,326.9
fulltext,A,False,4,0.8,2644,71.8,0,593.12,0.3995,0.02588,-0.02954,0.01313,0.72116,0.56121,0.05438,15,268.3
fulltext,A,False,4,0.9,2715,71.05,0,653.52,0.39434,0.02766,-0.00426,0.00906,0.63573,0.57433,0.07017,15,284.0
fulltext,A,False,4,1.0,2768,70.48,0,704.27,0.37732,0.03273,0.00453,0.01514,0.50587,0.57847,0.06159,15,381.3
fulltext,A,False,5,0.4,1780,81.02,0,309.15,0.32781,0.03082,-0.24756,0.01442,0.80667,0.47394,0.04458,15,153.1
fulltext,A,False,5,0.5,1944,79.27,0,383.36,0.33194,0.04348,-0.16946,0.02256,0.76676,0.49754,0.05669,15,175.1
fulltext,A,False,5,0.6,2064,77.99,0,450.03,0.37735,0.03472,-0.11716,0.01866,0.76791,0.52889,0.05447,15,187.5
fulltext,A,False,5,0.7,2169,76.87,0,518.18,0.39217,0.0276,-0.06123,0.01061,0.72053,0.56493,0.06631,15,205.9
