k,mean_c_v,sd_c_v,mean_c_npmi,diversity,redundancy_jaccard,thin_topics_lt3,zero_dominance,margin_mean,stability,composite_score
2,0.3117088663795723,0.0424736512608438,-0.040440085057971295,0.9525,0.05060120849594529,0.0,0.0,0.7548798167629002,0.7604250437447122,0.7606293832981263
3,0.34551156798767063,0.038261427076464044,-0.04264079833795949,0.9008333333333333,0.05551659235869757,0.0,0.0,0.6875130483821928,0.6841979258027815,0.6769394348249005
4,0.3572393955468766,0.039935185395979664,-0.04626680945538256,0.8525,0.060314287713668494,0.0,0.0,0.6384046648389068,0.6259868131712653,0.5636381457107728
5,0.35369802805564443,0.030833608117533003,-0.0514430598329082,0.827,0.05514650189572784,0.0,0.0,0.6285891713427845,0.5913152322576195,0.4957709494883356
6,0.37438490100570576,0.026808812152571432,-0.04805187753739658,0.8091666666666667,0.05060847255119697,0.1,0.0,0.5994811075961032,0.5661853613433607,0.5621304282106162
7,0.3817541765642811,0.026206654342059352,-0.047464451303969556,0.79,0.047510236237569226,0.1,0.0,0.5951158621056039,0.5505815660495331,0.5777908520830181
8,0.3957696153399718,0.022660470843946113,-0.0432338663615488,0.766875,0.046647380328550106,0.2,0.0,0.5966502218500747,0.5431936407296731,0.6330939553956088
9,0.39475030009471657,0.02657932297767299,-0.046424166706751854,0.7552777777777778,0.04380855223551379,0.25,0.0,0.600721023209035,0.5315630276127923,0.5970534253993306
10,0.39532392465265176,0.020468923560929796,-0.047725898412813855,0.73925,0.04365019082511338,0.4,0.0,0.6010917014695514,0.5195079238174756,0.5661756775060801
11,0.4010554525399085,0.021948668771908306,-0.04648538575087956,0.7295454545454546,0.041632809650749905,0.9,0.0,0.603126298533738,0.5149981559624148,0.583727692700678
12,0.4089874560070098,0.023199046515490963,-0.044128483040314276,0.7195833333333334,0.04058376626511532,1.45,0.05,0.607503872340745,0.5123228781602422,0.595832132878587
13,0.4167938546110605,0.02912443586908552,-0.04035848723124224,0.7067307692307693,0.039351865190755356,2.3,0.05,0.6141737748961718,0.5098357285613472,0.6354882956139624
14,0.4218023764353269,0.030385748669357827,-0.0396344911616614,0.6989285714285713,0.03830372247801563,2.95,0.05,0.6162401425561421,0.5091282661223416,0.6408377818911604
15,0.42373234226831025,0.03296876830134992,-0.03978362444520136,0.6858333333333333,0.038434778667265204,3.7,0.05,0.6194087409294404,0.5070033684079681,0.6204408695503412
16,0.4285558001715725,0.03449513876444092,-0.04067493032197764,0.67421875,0.03830504612457091,4.65,0.2,0.627758280258351,0.5045174001638366,0.545263695536984
17,0.4350815166760943,0.031785634117132755,-0.040786706907743865,0.6658823529411765,0.03702042659500462,5.75,0.3,0.6336519310916335,0.510957882293518,0.507906006076951
18,0.4383368054176473,0.03300944580484378,-0.040594605787323865,0.6599999999999999,0.03607299327549402,6.75,0.35,0.6401937102699635,0.5106776355438927,0.4835817919647855
19,0.43656477202221866,0.0290273590621415,-0.04394799124359696,0.6506578947368421,0.03621440982789248,7.55,0.45,0.6493789236539713,0.514096152579202,0.3924596918896736
20,0.4396676332644144,0.02572945428510121,-0.043363708278774574,0.64325,0.03557558190341106,8.4,0.45,0.6490515125804388,0.5125276530522884,0.38792790274159245
