representation,k,seed,cv,cnpmi,wall_seconds
fulltext,2,42,0.22834,-0.25691,10.4
fulltext,2,101,0.20875,-0.30237,10.3
fulltext,2,202,0.27756,-0.25471,10.4
fulltext,2,303,0.26969,-0.25553,11.0
fulltext,2,404,0.31013,-0.243,10.1
fulltext,2,505,0.30642,-0.24348,11.1
fulltext,2,606,0.24447,-0.25547,11.2
fulltext,2,707,0.21062,-0.29626,11.2
fulltext,2,808,0.26358,-0.33091,11.0
fulltext,2,909,0.25668,-0.26414,11.5
fulltext,2,1010,0.23499,-0.3097,11.6
fulltext,2,1111,0.24487,-0.31134,11.6
fulltext,2,1212,0.26814,-0.26095,10.9
fulltext,2,1313,0.23128,-0.29798,11.6
fulltext,2,1414,0.29452,-0.24906,10.5
fulltext,2,1515,0.24811,-0.26862,10.9
fulltext,2,1616,0.22886,-0.26745,11.5
fulltext,2,1717,0.23601,-0.27245,11.2
fulltext,2,1818,0.2839,-0.24729,10.5
fulltext,2,1919,0.23632,-0.29761,10.9
fulltext,3,42,0.219,-0.27608,11.9
fulltext,3,101,0.2393,-0.26197,11.8
fulltext,3,202,0.26563,-0.25128,12.0
fulltext,3,303,0.23272,-0.24901,11.8
fulltext,3,404,0.2523,-0.26253,11.6
fulltext,3,505,0.30935,-0.22717,11.8
fulltext,3,606,0.30942,-0.22427,11.7
fulltext,3,707,0.31122,-0.23726,11.3
fulltext,3,808,0.30146,-0.23856,11.5
fulltext,3,909,0.31534,-0.25524,11.6
fulltext,3,1010,0.30054,-0.21047,11.3
fulltext,3,1111,0.25909,-0.24288,11.3
fulltext,3,1212,0.27076,-0.25351,11.5
fulltext,3,1313,0.26665,-0.23397,11.9
fulltext,3,1414,0.31796,-0.25071,11.6
fulltext,3,1515,0.24779,-0.22852,11.8
fulltext,3,1616,0.25013,-0.25536,11.4
fulltext,3,1717,0.29445,-0.23372,11.5
fulltext,3,1818,0.32534,-0.20608,11.3
fulltext,3,1919,0.29631,-0.25576,11.4
fulltext,4,42,0.26111,-0.2709,11.9
fulltext,4,101,0.30603,-0.24055,12.2
fulltext,4,202,0.2668,-0.24639,12.3
