representation,k,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_stability,sd_stability,mean_diversity,medoid_seed_index,medoid_seed,redundancy_jaccard_mean,redundancy_cosine_mean,dominant_counts_json,zero_dominance_topics,topics_lt3,topics_lt5,min_dominant_count,max_dominant_count,prevalence_json,mean_assignment_confidence,prop_conf_lt40,prop_conf_40_60,prop_conf_gt60,cv_dominant_counts,normalized_entropy,gini,largest_topic_proportion,smallest_topic_proportion,max_min_ratio,n_fits,wall_seconds
fulltext,2,0.25416,0.02945,-0.27426,0.02642,0.71763,0.05737,0.973,4,404,0.0,0.23545,"[30, 36]",0,0,0,30,36,"[0.43449, 0.56551]",0.88624,0.0,0.07576,0.92424,0.12856,0.99403,0.04545,0.54545,0.45455,1.2,20,221.7
fulltext,3,0.27924,0.03245,-0.24272,0.01781,0.63556,0.04232,0.94067,5,505,0.04457,0.32324,"[23, 15, 28]",0,0,0,15,28,"[0.33701, 0.26488, 0.39812]",0.86113,0.0,0.07576,0.92424,0.29807,0.972,0.13131,0.42424,0.22727,1.86667,20,235.2
fulltext,4,0.29571,0.02705,-0.25121,0.01656,0.59134,0.02964,0.907,5,505,0.02609,0.29217,"[17, 8, 16, 25]",0,0,0,8,25,"[0.26572, 0.13503, 0.22737, 0.37188]",0.84478,0.0,0.13636,0.86364,0.42135,0.9496,0.19697,0.37879,0.12121,3.125,20,248.6
fulltext,5,0.31077,0.02403,-0.25137,0.01786,0.55239,0.02928,0.88,19,1919,0.02917,0.25285,"[11, 18, 7, 9, 21]",0,0,0,7,21,"[0.16963, 0.2706, 0.10783, 0.15388, 0.29807]",0.84063,0.0,0.13636,0.86364,0.45581,0.94878,0.22424,0.31818,0.10606,3.0,20,90.0
fulltext,6,0.3087,0.01797,-0.25089,0.01781,0.52385,0.02375,0.85433,11,1111,0.0449,0.24278,"[7, 7, 18, 18, 7, 9]",0,0,0,7,18,"[0.11003, 0.11348, 0.23661, 0.28769, 0.096, 0.15618]",0.82704,0.0,0.19697,0.80303,0.49793,0.94561,0.22727,0.27273,0.10606,2.57143,20,52.7
fulltext,7,0.31268,0.01654,-0.24725,0.01392,0.49956,0.0209,0.842,15,1515,0.02,0.19653,"[13, 6, 10, 11, 12, 5, 9]",0,0,0,5,13,"[0.15484, 0.08277, 0.17068, 0.16515, 0.17384, 0.11288, 0.13983]",0.78403,0.0303,0.21212,0.75758,0.31734,0.97624,0.1645,0.19697,0.07576,2.6,20,54.4
fulltext,8,0.31522,0.01809,-0.2451,0.01566,0.4844,0.02057,0.81925,15,1515,0.02324,0.20426,"[11, 5, 9, 11, 10, 5, 8, 7]",0,0,0,5,11,"[0.16418, 0.07659, 0.13361, 0.14671, 0.16007, 0.0824, 0.11165, 0.12479]",0.78005,0.01515,0.21212,0.77273,0.29514,0.98082,0.1553,0.16667,0.07576,2.2,20,55.0
fulltext,9,0.32058,0.01886,-0.24392,0.0147,0.47281,0.02103,0.80356,6,606,0.02886,0.18503,"[5, 4, 6, 4, 10, 5, 9, 11, 12]",0,0,2,4,12,"[0.09654, 0.06522, 0.07919, 0.07391, 0.13819, 0.07417, 0.15511, 0.15565, 0.16201]",0.78934,0.0303,0.21212,0.75758,0.43122,0.96255,0.22559,0.18182,0.06061,3.0,20,57.0
fulltext,10,0.32783,0.01711,-0.24384,0.01747,0.46353,0.02213,0.793,6,606,0.02533,0.18328,"[5, 5, 6, 3, 11, 5, 6, 9, 11, 5]",0,0,1,3,11,"[0.09198, 0.07236, 0.08122, 0.04029, 0.13756, 0.07166, 0.114, 0.14715, 0.16125, 0.08252]",0.79708,0.0303,0.18182,0.78788,0.4177,0.96731,0.20909,0.16667,0.04545,3.66667,20,59.3
fulltext,11,0.32876,0.01711,-0.2373,0.01277,0.45496,0.02316,0.77564,6,606,0.02576,0.17707,"[4, 5, 5, 4, 6, 5, 6, 9, 10, 6, 6]",0,0,2,4,10,"[0.07656, 0.07222, 0.06898, 0.0534, 0.11286, 0.06914, 0.10742, 0.13715, 0.14192, 0.08222, 0.07813]",0.80672,0.04545,0.15152,0.80303,0.31623,0.98244,0.15427,0.15152,0.06061,2.5,20,61.5
