representation,alpha,eta,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_diversity,mean_stability,sd_stability,n_fits,wall_seconds
fulltext,auto,auto,0.32144,0.0249,-0.23821,0.01622,0.79467,0.46744,0.05426,15,152.2
fulltext,auto,symmetric,0.32144,0.0249,-0.23821,0.01622,0.79467,0.46744,0.05426,15,152.3
fulltext,symmetric,auto,0.32173,0.02503,-0.23792,0.01631,0.79502,0.46684,0.05378,15,151.8
fulltext,symmetric,symmetric,0.32173,0.02503,-0.23792,0.01631,0.79502,0.46684,0.05378,15,150.8
fulltext,0.05,auto,0.32167,0.02482,-0.23822,0.01644,0.79582,0.46643,0.0537,15,156.2
fulltext,0.05,symmetric,0.32167,0.02482,-0.23822,0.01644,0.79582,0.46643,0.0537,15,170.5
fulltext,0.1,auto,0.32167,0.02685,-0.2381,0.01619,0.79573,0.46669,0.05358,15,226.3
fulltext,0.1,symmetric,0.32167,0.02685,-0.2381,0.01619,0.79573,0.46669,0.05358,15,227.8
fulltext,0.25,auto,0.32191,0.0271,-0.23779,0.01682,0.79662,0.46684,0.05383,15,225.1
fulltext,0.25,symmetric,0.32191,0.0271,-0.23779,0.01682,0.79662,0.46684,0.05383,15,232.9
fulltext,0.5,auto,0.32329,0.02725,-0.23766,0.01653,0.7976,0.46641,0.05343,15,226.5
fulltext,0.5,symmetric,0.32329,0.02725,-0.23766,0.01653,0.7976,0.46641,0.05343,15,220.7
fulltext,1.0,auto,0.32592,0.03052,-0.23649,0.01666,0.80596,0.46537,0.05514,15,127.4
fulltext,1.0,symmetric,0.32592,0.03052,-0.23649,0.01666,0.80596,0.46537,0.05514,15,188.6
