k,n_seed_pairs,n_seeds_available,js_similarity_mean,js_similarity_sd,js_similarity_median,js_similarity_min,js_similarity_max,cosine_mean,cosine_sd,cosine_median,cosine_min,cosine_max,top20_jaccard_mean,top20_jaccard_sd,top20_jaccard_median,top20_jaccard_min,top20_jaccard_max
2,380,20,0.7604250437447122,0.07131900987957307,0.7470988808844395,0.626143964295448,0.9450630315539325,0.8749349983114946,0.09047762345707994,0.8854233622550964,0.5114867687225342,0.9982603788375854,0.5043356279193858,0.17889024052784103,0.48148148148148145,0.17647058823529413,0.9047619047619048
3,570,20,0.6841979258027815,0.0864137992082981,0.691805611601206,0.4580247707978018,0.8743591578487302,0.7957663572148272,0.14625333505978708,0.8332723379135132,0.29544225335121155,0.98726886510849,0.3917950415910903,0.1646899909094312,0.3793103448275862,0.02564102564102564,0.8181818181818182
4,760,20,0.6259868131712653,0.0897757144598272,0.6229637967562044,0.4091919442177542,0.877266135126075,0.7285116461742865,0.16326675907776575,0.7528424561023712,0.2493630200624466,0.9914626479148865,0.3363285800108452,0.15584322483977966,0.3333333333333333,0.02564102564102564,1.0
5,950,20,0.5913152322576195,0.09874604942462195,0.5859232612595477,0.3382317933747403,0.8882356603820906,0.7056748234755115,0.1756256745218496,0.7398079633712769,0.18174141645431519,0.9928063154220581,0.3104922597640465,0.16723365163548318,0.2903225806451613,0.0,1.0
6,1140,20,0.5661853613433607,0.09791867566589631,0.5676399953512101,0.27911735024180473,0.8594681717945691,0.692600995485197,0.18505958990768612,0.7241031527519226,0.0957084596157074,0.9897300004959106,0.29088704117042313,0.1552017340423706,0.2903225806451613,0.0,0.9047619047619048
7,1330,20,0.5505815660495331,0.09721134534014562,0.5525456176521703,0.2606552237388563,0.8335982210899417,0.6869873606564855,0.1846249275408647,0.7241895794868469,0.07337501645088196,0.9875423312187195,0.2891125525605561,0.1582692184208947,0.2903225806451613,0.0,0.8181818181818182
8,1520,20,0.5431936407296731,0.09585613987836654,0.5438741310960762,0.24220076780959554,0.8235941880975722,0.6889419824179066,0.1890426998706122,0.7358745336532593,0.12675771117210388,0.9912813901901245,0.304247968186975,0.16492345816178935,0.2903225806451613,0.0,0.9047619047619048
9,1710,20,0.5315630276127923,0.1049987452272492,0.5343873106800766,0.22127983229280257,0.8662350432975711,0.68238502620605,0.1992863696803726,0.7310966551303864,0.08037473261356354,0.995379626750946,0.300146914404411,0.1682565923838263,0.2903225806451613,0.0,0.9047619047619048
10,1900,20,0.5195079238174756,0.10731043002038132,0.5239231063622659,0.19329473870255054,0.8155792040277974,0.6686477326974273,0.20361414844581285,0.7139308750629425,0.049576837569475174,0.9868049621582031,0.2967389944930262,0.16864239494558278,0.2903225806451613,0.0,0.8181818181818182
11,2090,20,0.5149981559624148,0.1090801626453128,0.5219243030856209,0.18409288197395735,0.8375981041478298,0.6697706287842619,0.20881489720085628,0.7210948169231415,0.048500388860702515,0.9922622442245483,0.3036350426533739,0.171805174283671,0.2903225806451613,0.0,0.9047619047619048
12,2280,20,0.5123228781602422,0.11497094501960481,0.5233675107757372,0.13840897969422505,0.8051587288323061,0.6730884119100345,0.21473305888312405,0.7282420694828033,0.04134645313024521,0.9911706447601318,0.3090490127078772,0.18418187517149445,0.2903225806451613,0.0,0.9047619047619048
13,2470,20,0.5098357285613472,0.11851366573664518,0.517948483168907,0.14548712028307764,0.9526216699466663,0.676640420921358,0.2176518114504462,0.7318168580532074,0.02196059376001358,0.9991533756256104,0.3174780597361451,0.18634129876861494,0.2903225806451613,0.0,1.0
14,2660,20,0.5091282661223416,0.12310322618958218,0.5205159289921863,0.12560578117361731,0.950722254621956,0.6792593997476021,0.2222828520123002,0.7363313138484955,0.044274769723415375,0.9983751773834229,0.3249339435233505,0.19705486437269903,0.2903225806451613,0.0,1.0
15,2850,20,0.5070033684079681,0.1288848331887344,0.5198239116290372,0.14062830245414248,0.943737292425629,0.6744838263924446,0.23223109411527856,0.7329767346382141,0.020880425348877907,0.9989285469055176,0.32610618021901383,0.20220081893003647,0.2903225806451613,0.0,1.0
16,3040,20,0.5045174001638366,0.13260743062845615,0.5149432725821296,0.12455505033166203,0.9999625883133042,0.6693605623955495,0.23364493144628543,0.7257088720798492,0.021768631413578987,1.0000007152557373,0.3216865007223528,0.20445545145353203,0.2903225806451613,0.0,1.0
17,3230,20,0.510957882293518,0.14223327414794987,0.5200455014113761,0.1255584690917827,1.0,0.6841635342572034,0.24339620433291587,0.7551182508468628,0.02271076664328575,1.0000009536743164,0.33147199088701274,0.21462517283625396,0.2903225806451613,0.0,1.0
18,3420,20,0.5106776355438927,0.1462415978885257,0.5185200164341945,0.1450011631633228,1.0,0.6918400794708808,0.2424686993853982,0.7669704258441925,0.02269311062991619,1.0000008344650269,0.3347999626257525,0.22103988614821746,0.2903225806451613,0.0,1.0
19,3610,20,0.514096152579202,0.15228789801849196,0.5149398971897156,0.15523188812654443,1.0,0.692099766222724,0.2458443866981121,0.7701450884342194,0.035146258771419525,1.0000001192092896,0.337386373092157,0.22416509847971341,0.2903225806451613,0.0,1.0
20,3800,20,0.5125276530522884,0.1595890989342924,0.514568865713696,0.1214484948643072,1.0,0.6909299673100835,0.25172176197300244,0.7753585278987885,0.034761492162942886,1.0000005960464478,0.33954004655761033,0.22744988288687135,0.2903225806451613,0.0,1.0
