alpha,eta,k,mean_seed_stability
auto,auto,5,0.6140474112684318
auto,auto,10,0.530464637853334
auto,auto,15,0.5141011250153412
auto,symmetric,5,0.6140474112684318
auto,symmetric,10,0.530464637853334
auto,symmetric,15,0.5141011250153412
symmetric,auto,5,0.6133010434186059
symmetric,auto,10,0.5301341146344605
symmetric,auto,15,0.5140347388701422
symmetric,symmetric,5,0.6133010434186059
symmetric,symmetric,10,0.5301341146344605
symmetric,symmetric,15,0.5140347388701422
asymmetric,auto,5,0.6137889710469386
asymmetric,auto,10,0.529466159101055
asymmetric,auto,15,0.5131443108133894
asymmetric,symmetric,5,0.6137889710469386
asymmetric,symmetric,10,0.529466159101055
asymmetric,symmetric,15,0.5131443108133894
