rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
0,0,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S23;S24;S25;S26;S27;S28;S29;S31;S32;S34;S35;S36;S38;S41;S43;S42;S44;S45;S62;S63;S49;S50;S51;S64;S52;S54;S55;S56;S57;S59;S60,0.5098698898184026,0.19688845685230066,0.45858545795876443
1,1,53,S71;S66;S70;S65;S03;S05;S06;S07;S08;S09;S11;S12;S13;S14;S15;S18;S19;S20;S22;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S49;S50;S51;S64;S54;S55;S56;S57;S58;S60,0.550611038498759,0.24542610478115146,0.5017205718226039
2,2,53,S71;S66;S70;S01;S02;S05;S06;S08;S09;S11;S14;S15;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S63;S47;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5014498842719914,0.2688879456706282,0.43254761828583616
3,3,53,S71;S66;S70;S65;S01;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S16;S17;S20;S21;S22;S23;S24;S25;S27;S28;S29;S30;S31;S32;S34;S35;S38;S39;S40;S42;S45;S46;S62;S63;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5653789277819858,0.31423691464568476,0.5590260060578268
4,4,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S22;S23;S25;S61;S27;S28;S29;S30;S31;S32;S34;S35;S36;S40;S41;S42;S44;S45;S46;S62;S47;S49;S64;S53;S54;S56;S57;S58;S59;S60,0.5246466899019999,0.20208768267223381,0.48842374269996264
5,5,53,S71;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S13;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S29;S30;S31;S33;S34;S35;S38;S39;S41;S43;S42;S44;S46;S62;S63;S47;S48;S49;S64;S53;S54;S55;S56;S57;S58;S59;S60,0.5269256731897913,0.23645451577451707,0.5117080755434533
6,6,53,S71;S66;S70;S65;S02;S03;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S40;S41;S43;S42;S44;S45;S46;S62;S47;S49;S50;S51;S64;S53;S54;S55;S56;S57;S60,0.5192030350899559,0.21078127049359507,0.463984219165168
7,7,53,S70;S65;S01;S02;S03;S05;S06;S07;S09;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S23;S24;S25;S27;S28;S29;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S45;S46;S62;S63;S47;S48;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.4925840028060732,0.15130902241317276,0.3957134522333507
8,8,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S10;S11;S12;S13;S14;S15;S17;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S35;S38;S39;S41;S42;S44;S45;S46;S62;S63;S47;S48;S50;S64;S53;S54;S55;S56;S57;S58;S60,0.4661010808912798,0.16829805055100264,0.4504492314785557
9,9,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S08;S09;S10;S11;S13;S14;S15;S16;S19;S20;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S48;S50;S51;S64;S52;S53;S54;S57;S58;S59,0.5316442896974969,0.2606729516363915,0.5549578896402702
