representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
fulltext,5,1,1,53,0.81432,0.93562,0.95405,0,0,0.95302,0.00423,0.5
fulltext,5,2,2,53,0.80904,0.77912,0.79179,0,0,0.9409,-0.00788,0.5
fulltext,5,3,3,53,0.82212,0.90926,0.91644,0,0,0.93676,-0.01202,0.5
fulltext,5,4,4,53,0.7954,0.91395,0.91832,0,0,0.94942,0.00064,0.5
fulltext,5,5,5,53,0.81746,0.89799,0.91601,0,0,0.96654,0.01776,0.5
fulltext,5,6,6,53,0.7719,0.72094,0.7706,0,0,0.97099,0.02221,0.5
fulltext,5,7,7,53,0.7761,0.79259,0.82755,0,0,0.95302,0.00423,0.5
fulltext,5,8,8,53,0.77467,0.79686,0.80219,0,0,0.96784,0.01906,0.5
fulltext,5,9,9,53,0.78944,0.87088,0.87246,0,0,0.92855,-0.02023,0.5
fulltext,5,10,10,53,0.81141,0.86427,0.88142,0,0,0.9506,0.00182,0.6
fulltext,5,11,11,53,0.82682,0.78879,0.8477,0,0,0.97716,0.02838,0.5
fulltext,5,12,12,53,0.71878,0.7308,0.77996,0,0,0.93508,-0.0137,0.5
fulltext,5,13,13,53,0.81472,0.84703,0.86775,0,0,0.91225,-0.03653,0.5
fulltext,5,14,14,53,0.78828,0.83907,0.85175,0,0,0.9246,-0.02418,0.6
fulltext,5,15,15,53,0.82309,0.93496,0.95308,0,0,0.94286,-0.00592,0.5
fulltext,5,16,16,53,0.83874,0.95749,0.95962,0,0,0.9547,0.00591,0.5
fulltext,5,17,17,53,0.82695,0.90738,0.93223,0,0,0.93676,-0.01202,0.6
fulltext,5,18,18,53,0.84262,0.8942,0.91404,0,0,0.9608,0.01202,0.5
fulltext,5,19,19,53,0.83959,0.88529,0.91334,0,0,0.96159,0.01281,0.5
fulltext,5,20,20,53,0.82096,0.82159,0.83374,0,0,0.9308,-0.01798,0.5
fulltext,5,21,21,53,0.71694,0.79964,0.80851,0,0,0.93427,-0.01451,0.5
fulltext,5,22,22,53,0.7989,0.95453,0.95737,0,0,0.93366,-0.01512,0.5
fulltext,5,23,23,53,0.81366,0.87846,0.89548,0,0,0.93366,-0.01512,0.5
fulltext,5,24,24,53,0.77771,0.88336,0.89179,1,0,0.93148,-0.0173,0.5
fulltext,5,25,25,53,0.82149,0.84952,0.87447,0,0,0.96158,0.0128,0.5
fulltext,5,26,26,53,0.78825,0.78542,0.81216,0,0,0.94601,-0.00277,0.5
fulltext,5,27,27,53,0.74956,0.7659,0.81854,0,0,0.92997,-0.01881,0.5
fulltext,5,28,28,53,0.80597,0.77263,0.79319,0,0,0.9485,-0.00028,0.6
fulltext,5,29,29,53,0.77672,0.80185,0.84119,0,0,0.92583,-0.02295,0.5
fulltext,5,30,30,53,0.78088,0.73001,0.78772,0,0,0.97789,0.02911,0.5
fulltext,5,31,31,53,0.83747,1.0,1.0,0,0,0.95155,0.00276,0.5
fulltext,5,32,32,53,0.75127,0.70728,0.75598,0,0,0.96822,0.01944,0.6
fulltext,5,33,33,53,0.86457,0.90852,0.93346,0,0,0.95453,0.00575,0.6
fulltext,5,34,34,53,0.80219,0.78085,0.81643,0,0,0.98111,0.03233,0.5
fulltext,5,35,35,53,0.8268,0.9189,0.9204,0,0,0.96166,0.01288,0.5
fulltext,5,36,36,53,0.83743,0.87871,0.88185,0,0,0.94709,-0.00169,0.5
fulltext,5,37,37,53,0.82651,0.75224,0.78772,0,0,0.95306,0.00428,0.5
fulltext,5,38,38,53,0.86109,0.93624,0.95368,0,0,0.94664,-0.00214,0.6
fulltext,5,39,39,53,0.81754,0.86554,0.87984,0,0,0.97642,0.02764,0.6
fulltext,5,40,40,53,0.74881,0.64369,0.72248,0,0,0.95239,0.00361,0.5
fulltext,5,41,41,53,0.76526,0.80432,0.83374,0,0,0.94391,-0.00488,0.5
fulltext,5,42,42,53,0.82275,0.91637,0.91775,0,0,0.94308,-0.00571,0.6
fulltext,5,43,43,53,0.76464,0.82254,0.83529,0,0,0.95844,0.00966,0.5
fulltext,5,44,44,53,0.73478,0.72619,0.76349,1,0,0.90658,-0.0422,0.5
fulltext,5,45,45,53,0.70182,0.68909,0.73581,0,0,0.93676,-0.01202,0.5
fulltext,5,46,46,53,0.79909,0.86546,0.88784,1,0,0.89565,-0.05313,0.5
fulltext,5,47,47,53,0.8209,0.76228,0.81075,0,0,0.96012,0.01134,0.5
fulltext,5,48,48,53,0.83065,0.87333,0.89236,1,0,0.9151,-0.03368,0.5
fulltext,5,49,49,53,0.70917,0.63956,0.71308,0,0,0.95393,0.00515,0.5
fulltext,5,50,50,53,0.79776,0.89179,0.91133,0,0,0.94528,-0.0035,0.6
fulltext,5,51,51,53,0.78931,0.8855,0.90978,1,0,0.94443,-0.00436,0.5
fulltext,5,52,52,53,0.82615,0.89799,0.91601,0,0,0.96654,0.01776,0.6
fulltext,5,53,53,53,0.81516,0.81281,0.85234,0,0,0.97693,0.02815,0.6
fulltext,5,54,54,53,0.81511,0.81462,0.83652,0,0,0.95802,0.00924,0.6
fulltext,5,55,55,53,0.77947,0.87158,0.89398,0,0,0.94528,-0.0035,0.5
fulltext,5,56,56,53,0.81807,0.91516,0.91889,0,0,0.95438,0.0056,0.6
