representation,passes,iterations,effort,mean_js_vs_next,mean_dom_agreement_vs_next,n_fits,wall_seconds
metadata,10,200,2000,0.93305,0.94646,15,0.2
metadata,10,400,4000,0.89738,0.91414,15,0.2
metadata,20,200,4000,0.96826,0.97778,15,0.2
metadata,30,200,6000,0.8675,0.89798,15,0.3
metadata,10,800,8000,0.92448,0.9404,15,0.2
metadata,20,400,8000,0.88424,0.91515,15,0.2
metadata,50,200,10000,0.84919,0.88081,15,0.2
metadata,10,1200,12000,0.89866,0.9202,15,0.3
metadata,30,400,12000,0.93622,0.96263,15,0.3
metadata,20,800,16000,0.91465,0.94949,15,0.3
metadata,50,400,20000,0.9084,0.93838,15,0.2
metadata,20,1200,24000,0.95999,0.97374,15,0.4
metadata,30,800,24000,0.97947,0.98788,15,0.2
metadata,30,1200,36000,0.95469,0.97374,15,0.2
metadata,50,800,40000,0.97587,0.98687,15,0.2
metadata,50,1200,60000,,,15,0.0
