representation,hf_variant,bigrams,no_below,no_above,vocab_size,pct_vocab_removed,empty_docs,avg_doc_vocab,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_diversity,mean_stability,sd_stability,n_fits,wall_seconds
metadata,A,False,2,0.4,800,56.04,0,61.8,0.32689,0.0384,-0.23225,0.01783,0.64471,0.49247,0.04744,15,9.6
metadata,A,False,2,0.5,805,55.77,0,63.95,0.32481,0.03035,-0.20288,0.01989,0.61164,0.49704,0.05585,15,9.9
metadata,A,False,2,0.6,809,55.55,0,66.21,0.32654,0.03644,-0.15844,0.02469,0.57876,0.49642,0.05199,15,10.1
metadata,A,False,2,0.7,810,55.49,0,66.83,0.32266,0.03029,-0.15444,0.02892,0.57013,0.50114,0.06065,15,9.9
metadata,A,False,2,0.75,812,55.38,0,68.29,0.33743,0.02822,-0.13303,0.03212,0.5616,0.50589,0.04476,15,10.1
metadata,A,False,2,0.8,815,55.22,0,70.61,0.36541,0.02648,-0.09931,0.02594,0.51191,0.52929,0.04186,15,10.3
metadata,A,False,2,0.9,816,55.16,0,71.42,0.38395,0.01915,-0.08727,0.03187,0.5128,0.53066,0.0459,15,10.4
metadata,A,False,2,1.0,817,55.11,0,72.33,0.40091,0.02379,-0.08859,0.05028,0.48533,0.53663,0.03315,15,10.3
metadata,A,False,3,0.4,514,71.76,0,53.14,0.31614,0.02999,-0.22304,0.01515,0.60658,0.49235,0.06427,15,9.4
metadata,A,False,3,0.5,519,71.48,0,55.29,0.3279,0.03418,-0.19837,0.02143,0.59111,0.51781,0.03415,15,9.9
metadata,A,False,3,0.6,523,71.26,0,57.55,0.31103,0.02901,-0.15222,0.01775,0.56684,0.50552,0.05554,15,10.0
metadata,A,False,3,0.7,524,71.21,0,58.17,0.31923,0.02715,-0.1429,0.0221,0.56178,0.4966,0.05048,15,9.8
metadata,A,False,3,0.75,526,71.1,0,59.62,0.33813,0.02521,-0.12458,0.03219,0.5416,0.52383,0.05864,15,10.0
metadata,A,False,3,0.8,529,70.93,0,61.94,0.37815,0.03065,-0.10634,0.03255,0.5256,0.53691,0.03295,15,10.2
metadata,A,False,3,0.9,530,70.88,0,62.76,0.39931,0.02345,-0.1005,0.03369,0.5168,0.52419,0.03827,15,10.2
metadata,A,False,3,1.0,531,70.82,0,63.67,0.40005,0.01743,-0.0704,0.02569,0.48764,0.54538,0.0416,15,41.5
metadata,A,False,4,0.4,375,79.4,0,46.82,0.32329,0.03802,-0.21437,0.01251,0.60036,0.49156,0.05603,15,38.5
metadata,A,False,4,0.5,380,79.12,0,48.97,0.33022,0.02952,-0.18535,0.02206,0.59351,0.51049,0.04258,15,38.9
metadata,A,False,4,0.6,384,78.9,0,51.23,0.33397,0.0251,-0.13636,0.01749,0.56044,0.51445,0.04726,15,39.0
metadata,A,False,4,0.7,385,78.85,0,51.85,0.32857,0.02455,-0.14234,0.03526,0.53911,0.51443,0.03962,15,40.1
metadata,A,False,4,0.75,387,78.74,0,53.3,0.34057,0.0299,-0.11341,0.02449,0.54684,0.51675,0.04629,15,39.5
metadata,A,False,4,0.8,390,78.57,0,55.62,0.3921,0.03369,-0.10105,0.04667,0.51431,0.53615,0.0415,15,41.4
metadata,A,False,4,0.9,391,78.52,0,56.44,0.40787,0.01973,-0.08145,0.03141,0.51138,0.54645,0.03433,15,41.3
