k,mean_c_v,sd_c_v,mean_c_npmi,diversity,redundancy_jaccard,thin_topics_lt3,zero_dominance,margin_mean,stability,composite_score
2,0.3698835464471776,0.02035955280733061,-0.08505680340667739,0.95375,0.04895381211170681,0.1,0.0,0.7709336263431646,0.7824240724117376,0.8571428571428571
3,0.39956670212991907,0.03038457076603694,-0.09596325786938734,0.8891666666666665,0.06398281382801502,0.25,0.0,0.6856697495778297,0.7100156922859151,0.7867822216276238
4,0.4035205828686775,0.028349647625426067,-0.10418060443090502,0.8425,0.06439995093245862,0.2,0.0,0.6259867528794957,0.6610474205206268,0.7480733816204369
5,0.40646407583886174,0.02850910503543857,-0.11009508933145762,0.8035,0.06474858549161952,0.25,0.0,0.6089373779347749,0.6223241668533159,0.7153951898174459
6,0.39846482376642606,0.023667831098440142,-0.12260900116865887,0.7641666666666667,0.0669683350720502,0.55,0.0,0.6269726418308492,0.600008935636734,0.6206215751627299
7,0.3967859442109023,0.01786217101152644,-0.13011064166218161,0.7339285714285715,0.06721596227381557,0.95,0.0,0.6497996649906492,0.579833016850994,0.5749046908548705
8,0.3847801121355794,0.01778022266842837,-0.14277380607998252,0.6984375,0.06838741405165763,1.2,0.15,0.6643807947343758,0.5574780217432066,0.46136114685736607
9,0.39093611731265665,0.018434304375313546,-0.14251871761978097,0.6805555555555556,0.06416008617708903,1.45,0.15,0.651368960971936,0.5444394821009372,0.5006133328976357
10,0.38579783785703964,0.022759696616409916,-0.1469818275844725,0.65175,0.06524185048952846,1.45,0.15,0.6715559401160053,0.5312778566583494,0.4500923324871552
11,0.39183694539355984,0.018072654654773018,-0.14771645588649635,0.6365909090909091,0.06534235811121311,2.05,0.2,0.6782008928375765,0.5133132257148743,0.444258702144339
12,0.37891717786325835,0.022547804599378916,-0.1547657845432165,0.6216666666666667,0.06274346551582731,2.65,0.35,0.6934157214073421,0.5080967290621304,0.3729249139015019
13,0.39002825684469355,0.021534051702822705,-0.1556897691540825,0.6057692307692307,0.06122941075906061,3.6,0.35,0.6986758586474355,0.5038381203652457,0.4038407093961723
14,0.38415840648863864,0.020293763785738078,-0.16399503498813164,0.58875,0.06325603954078415,4.0,0.5,0.7279903121599395,0.5010511362402644,0.32787809783984795
15,0.3751726958569212,0.015014021653008492,-0.16496818445334824,0.5746666666666667,0.060558192259908564,4.9,0.6,0.7385308847541251,0.4992583834365083,0.2831493887981923
16,0.3852901137929346,0.016403387546188627,-0.16982951685771708,0.56203125,0.060432933908885524,5.4,1.0,0.74854654782718,0.4993561373383923,0.2708411870689888
17,0.3800116573781265,0.021744103046335228,-0.17372027080857583,0.5416176470588235,0.06188195674362788,6.1,1.35,0.7557461399029749,0.5073050163426991,0.19079867775296694
18,0.37166021159556817,0.017559078971584787,-0.1777899407912285,0.5323611111111111,0.05992382534833227,6.75,1.25,0.7565207272517289,0.5004398901190908,0.15823429185151974
19,0.37622359205678263,0.014261104054356941,-0.17520730715506735,0.5160526315789473,0.06149473396585233,8.1,1.45,0.7779337823942445,0.5005441727598674,0.1250744129450218
20,0.37621385843040184,0.01712533309663016,-0.18095283600108408,0.507125,0.060552585019119254,9.15,1.7,0.785720570058798,0.50485365219443,0.08513856786300164
