representation,k,seed,cv,cnpmi,wall_seconds
metadata,2,42,0.27401,-0.20521,1.7
metadata,2,101,0.33436,-0.15279,2.1
metadata,2,202,0.3511,-0.14497,1.8
metadata,2,303,0.31341,-0.14917,1.5
metadata,2,404,0.3394,-0.13345,1.9
metadata,2,505,0.33044,-0.12072,1.5
metadata,2,606,0.33873,-0.12617,1.8
metadata,2,707,0.31985,-0.1187,1.5
metadata,2,808,0.34019,-0.13725,1.2
metadata,2,909,0.30254,-0.17672,1.5
metadata,2,1010,0.33187,-0.13729,1.8
metadata,2,1111,0.3288,-0.12986,1.6
metadata,2,1212,0.3357,-0.15955,1.7
metadata,2,1313,0.27716,-0.1887,1.9
metadata,2,1414,0.36213,-0.13312,1.5
metadata,2,1515,0.34561,-0.14269,1.8
metadata,2,1616,0.32584,-0.15666,1.7
metadata,2,1717,0.34387,-0.16447,1.8
metadata,2,1818,0.34468,-0.14416,1.7
metadata,2,1919,0.23484,-0.15311,1.6
metadata,3,42,0.36122,-0.13447,1.8
metadata,3,101,0.2871,-0.18056,1.8
metadata,3,202,0.34193,-0.14494,1.6
metadata,3,303,0.3762,-0.15242,1.6
metadata,3,404,0.35684,-0.12514,1.7
metadata,3,505,0.32251,-0.15735,1.6
metadata,3,606,0.30724,-0.15458,1.7
metadata,3,707,0.3564,-0.14522,1.7
metadata,3,808,0.369,-0.17673,1.7
metadata,3,909,0.35471,-0.15748,1.7
metadata,3,1010,0.30855,-0.15367,1.7
metadata,3,1111,0.35603,-0.1367,1.5
metadata,3,1212,0.40336,-0.12364,1.6
metadata,3,1313,0.38922,-0.14186,1.6
metadata,3,1414,0.35321,-0.14405,1.9
metadata,3,1515,0.36181,-0.14284,1.8
metadata,3,1616,0.31545,-0.17345,1.9
metadata,3,1717,0.32148,-0.16381,1.9
metadata,3,1818,0.41626,-0.12343,1.5
metadata,3,1919,0.28818,-0.14908,1.7
metadata,4,42,0.38452,-0.14431,1.8
metadata,4,101,0.32009,-0.1788,1.8
metadata,4,202,0.38105,-0.17603,1.6
metadata,4,303,0.41605,-0.14705,1.6
metadata,4,404,0.43688,-0.14836,1.6
metadata,4,505,0.26232,-0.17281,1.7
metadata,4,606,0.33712,-0.18138,1.7
metadata,4,707,0.31725,-0.16898,1.7
metadata,4,808,0.34683,-0.1516,1.6
metadata,4,909,0.38262,-0.15524,1.8
metadata,4,1010,0.38887,-0.17526,1.8
metadata,4,1111,0.31593,-0.17856,1.8
metadata,4,1212,0.44138,-0.12999,1.9
metadata,4,1313,0.36485,-0.18242,1.7
metadata,4,1414,0.30384,-0.16882,2.0
metadata,4,1515,0.37161,-0.16062,1.9
metadata,4,1616,0.34748,-0.15676,1.8
metadata,4,1717,0.40215,-0.16239,1.8
metadata,4,1818,0.36373,-0.15848,1.6
metadata,4,1919,0.2837,-0.17743,1.7
metadata,5,42,0.37721,-0.15052,1.8
metadata,5,101,0.37804,-0.1969,1.8
metadata,5,202,0.39368,-0.1694,1.8
metadata,5,303,0.40123,-0.15096,1.7
metadata,5,404,0.37325,-0.19093,1.8
metadata,5,505,0.30632,-0.17565,1.8
metadata,5,606,0.33606,-0.17294,1.7
metadata,5,707,0.28097,-0.1659,1.8
metadata,5,808,0.37553,-0.16831,1.8
metadata,5,909,0.38503,-0.15817,1.8
metadata,5,1010,0.37885,-0.17653,1.7
metadata,5,1111,0.33937,-0.18376,1.7
metadata,5,1212,0.4292,-0.13185,1.8
metadata,5,1313,0.39635,-0.18314,1.8
metadata,5,1414,0.37435,-0.20541,1.9
metadata,5,1515,0.36565,-0.1674,1.6
metadata,5,1616,0.36523,-0.19302,1.6
metadata,5,1717,0.37338,-0.15339,1.8
metadata,5,1818,0.41392,-0.16404,1.7
metadata,5,1919,0.34535,-0.19663,1.7
metadata,6,42,0.39948,-0.17447,1.8
metadata,6,101,0.36074,-0.19137,1.9
metadata,6,202,0.38006,-0.17888,1.8
metadata,6,303,0.39074,-0.15359,1.7
metadata,6,404,0.37353,-0.19262,1.9
metadata,6,505,0.33596,-0.19034,1.8
metadata,6,606,0.35836,-0.20012,2.0
metadata,6,707,0.3004,-0.18952,1.7
metadata,6,808,0.37139,-0.16855,1.9
metadata,6,909,0.37523,-0.19097,1.8
metadata,6,1010,0.39559,-0.17924,1.8
metadata,6,1111,0.34445,-0.1899,1.9
metadata,6,1212,0.40513,-0.15752,1.9
metadata,6,1313,0.34161,-0.20883,1.8
metadata,6,1414,0.35852,-0.20726,1.6
metadata,6,1515,0.39494,-0.17787,1.7
metadata,6,1616,0.38116,-0.16802,1.7
metadata,6,1717,0.37097,-0.16638,1.8
metadata,6,1818,0.42133,-0.16426,1.9
metadata,6,1919,0.3457,-0.19941,1.8
metadata,7,42,0.38131,-0.19014,1.9
metadata,7,101,0.38386,-0.1981,2.0
metadata,7,202,0.37012,-0.17212,2.0
metadata,7,303,0.40745,-0.1746,1.9
metadata,7,404,0.34279,-0.20963,1.9
metadata,7,505,0.33073,-0.18824,1.9
metadata,7,606,0.41069,-0.18706,1.9
metadata,7,707,0.33162,-0.19564,2.0
metadata,7,808,0.36551,-0.18352,2.0
metadata,7,909,0.38196,-0.18071,2.2
metadata,7,1010,0.36089,-0.19629,1.9
metadata,7,1111,0.38168,-0.18437,1.9
metadata,7,1212,0.39349,-0.16498,1.9
metadata,7,1313,0.36696,-0.18109,1.9
metadata,7,1414,0.36678,-0.19851,1.9
metadata,7,1515,0.3919,-0.18246,1.9
metadata,7,1616,0.40528,-0.17431,1.9
metadata,7,1717,0.36987,-0.19142,2.1
metadata,7,1818,0.40748,-0.2029,1.9
metadata,7,1919,0.34314,-0.20416,1.9
metadata,8,42,0.39302,-0.17484,2.0
