representation,k,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_stability,sd_stability,mean_diversity,medoid_seed_index,medoid_seed,redundancy_jaccard_mean,redundancy_cosine_mean,dominant_counts_json,zero_dominance_topics,topics_lt3,topics_lt5,min_dominant_count,max_dominant_count,prevalence_json,mean_assignment_confidence,prop_conf_lt40,prop_conf_40_60,prop_conf_gt60,cv_dominant_counts,normalized_entropy,gini,largest_topic_proportion,smallest_topic_proportion,max_min_ratio,n_fits,wall_seconds
metadata,2,0.32373,0.03061,-0.14874,0.02224,0.73053,0.07208,0.941,8,808,0.05263,0.32712,"[33, 33]",0,0,0,33,33,"[0.53458, 0.46542]",0.84306,0.0,0.06061,0.93939,0.0,1.0,0.0,0.5,0.5,1.0,20,34.6
metadata,3,0.34733,0.03573,-0.14907,0.01648,0.6477,0.05795,0.89133,12,1212,0.04412,0.29569,"[22, 24, 20]",0,0,0,20,24,"[0.34965, 0.35209, 0.29826]",0.75229,0.0,0.22727,0.77273,0.09091,0.99749,0.0404,0.36364,0.30303,1.2,20,35.0
metadata,4,0.35841,0.0485,-0.16376,0.0146,0.58153,0.05134,0.849,12,1212,0.03936,0.27712,"[22, 16, 15, 13]",0,0,0,13,22,"[0.29181, 0.24155, 0.2416, 0.22504]",0.71932,0.01515,0.22727,0.75758,0.23473,0.98571,0.10606,0.33333,0.19697,1.69231,20,36.3
metadata,5,0.36945,0.03469,-0.17274,0.01867,0.54886,0.03959,0.8,3,303,0.04872,0.26863,"[4, 21, 18, 10, 13]",0,0,1,4,21,"[0.09742, 0.27186, 0.24684, 0.18409, 0.19979]",0.66612,0.10606,0.31818,0.57576,0.5065,0.92861,0.25455,0.31818,0.06061,5.25,20,36.7
metadata,6,0.37027,0.02821,-0.18246,0.01604,0.52465,0.03257,0.775,16,1616,0.04462,0.22783,"[7, 15, 7, 15, 9, 13]",0,0,0,7,15,"[0.11348, 0.21211, 0.13531, 0.20663, 0.15917, 0.1733]",0.61097,0.16667,0.31818,0.51515,0.34498,0.97173,0.17172,0.22727,0.10606,2.14286,20,38.3
metadata,7,0.37468,0.0246,-0.18801,0.01175,0.50226,0.03247,0.742,8,808,0.03952,0.2141,"[15, 10, 6, 6, 5, 8, 16]",0,0,0,5,16,"[0.18519, 0.14956, 0.10827, 0.10868, 0.11126, 0.14052, 0.19652]",0.5932,0.15152,0.43939,0.40909,0.47375,0.95247,0.2381,0.24242,0.07576,3.2,20,41.4
metadata,8,0.37896,0.02521,-0.19285,0.01138,0.48254,0.03102,0.711,8,808,0.04254,0.19345,"[16, 10, 6, 5, 5, 6, 16, 2]",0,1,1,2,16,"[0.17154, 0.13911, 0.11152, 0.09728, 0.10596, 0.11867, 0.18143, 0.0745]",0.56272,0.19697,0.45455,0.34848,0.63729,0.91652,0.31818,0.24242,0.0303,8.0,20,18.6
metadata,9,0.37052,0.02688,-0.20243,0.01492,0.4637,0.02818,0.67422,17,1717,0.04477,0.18384,"[5, 6, 3, 7, 4, 11, 13, 7, 10]",0,0,2,3,13,"[0.09288, 0.10594, 0.08798, 0.10803, 0.09324, 0.12193, 0.15377, 0.11246, 0.12377]",0.54189,0.25758,0.36364,0.37879,0.45738,0.95774,0.24242,0.19697,0.04545,4.33333,20,11.3
metadata,10,0.37891,0.02298,-0.20651,0.01213,0.44963,0.02802,0.6466,5,505,0.03413,0.13383,"[6, 7, 3, 3, 10, 7, 1, 8, 10, 11]",0,1,3,1,11,"[0.10654, 0.09189, 0.06173, 0.08835, 0.12086, 0.10451, 0.06079, 0.10912, 0.12785, 0.12836]",0.50616,0.37879,0.31818,0.30303,0.51108,0.9401,0.27273,0.16667,0.01515,11.0,20,12.6
metadata,11,0.37877,0.02216,-0.20638,0.01032,0.44045,0.02815,0.61418,0,42,0.04695,0.13058,"[4, 11, 1, 4, 11, 1, 4, 17, 1, 1, 11]",0,4,7,1,17,"[0.07928, 0.14216, 0.0526, 0.06545, 0.14144, 0.06035, 0.07967, 0.156, 0.0476, 0.05729, 0.11818]",0.50965,0.34848,0.30303,0.34848,0.92496,0.83777,0.46832,0.25758,0.01515,17.0,20,13.9
