representation,alpha,eta,mean_cv,sd_cv,mean_cnpmi,sd_cnpmi,mean_diversity,mean_stability,sd_stability,n_fits,wall_seconds
metadata,auto,auto,0.3445,0.0213,-0.19321,0.02172,0.57102,0.50638,0.05984,15,32.9
metadata,auto,symmetric,0.3445,0.0213,-0.19321,0.02172,0.57102,0.50638,0.05984,15,30.6
metadata,symmetric,auto,0.34605,0.02048,-0.19387,0.02161,0.57396,0.50361,0.05755,15,34.7
metadata,symmetric,symmetric,0.34605,0.02048,-0.19387,0.02161,0.57396,0.50361,0.05755,15,43.4
metadata,0.05,auto,0.3437,0.02252,-0.19129,0.02228,0.56818,0.50934,0.06132,15,28.8
metadata,0.05,symmetric,0.3437,0.02252,-0.19129,0.02228,0.56818,0.50934,0.06132,15,33.6
metadata,0.1,auto,0.33964,0.02591,-0.19373,0.02056,0.57822,0.50917,0.05985,15,34.1
metadata,0.1,symmetric,0.33964,0.02591,-0.19373,0.02056,0.57822,0.50917,0.05985,15,33.6
metadata,0.25,auto,0.3475,0.02181,-0.19453,0.02054,0.58498,0.50044,0.05568,15,35.7
metadata,0.25,symmetric,0.3475,0.02181,-0.19453,0.02054,0.58498,0.50044,0.05568,15,44.7
metadata,0.5,auto,0.36589,0.02376,-0.19976,0.02117,0.62489,0.48876,0.06127,15,49.0
metadata,0.5,symmetric,0.36589,0.02376,-0.19976,0.02117,0.62489,0.48876,0.06127,15,40.3
metadata,1.0,auto,0.3767,0.0195,-0.19387,0.02228,0.64258,0.4883,0.07143,15,30.2
metadata,1.0,symmetric,0.3767,0.0195,-0.19387,0.02228,0.64258,0.4883,0.07143,15,29.9
