k,n_seed_pairs,n_seeds_available,js_similarity_mean,js_similarity_sd,js_similarity_median,js_similarity_min,js_similarity_max,cosine_mean,cosine_sd,cosine_median,cosine_min,cosine_max,top20_jaccard_mean,top20_jaccard_sd,top20_jaccard_median,top20_jaccard_min,top20_jaccard_max
2,380,20,0.7824240724117376,0.08665345900613697,0.7795251500913896,0.5271147015899156,0.9826888557170376,0.8995785732802591,0.09577232480731744,0.926806628704071,0.439759761095047,0.9997313022613525,0.5926478693715379,0.19987179162759872,0.6666666666666666,0.08108108108108109,1.0
3,570,20,0.7100156922859151,0.11147016392425074,0.7258431178801499,0.42639778705769915,0.9643130574945271,0.8433604940510633,0.1482889193926468,0.9081007242202759,0.33401837944984436,0.9985874891281128,0.48220057081602236,0.2251866441441052,0.48148148148148145,0.05263157894736842,1.0
4,760,20,0.6610474205206268,0.13726265070872853,0.6623938832862377,0.3760014281909394,0.9584893708379024,0.8080033459553593,0.18170098780569524,0.8783350586891174,0.28262531757354736,0.9986807703971863,0.44321165541361074,0.24588689884845608,0.42857142857142855,0.0,1.0
5,950,20,0.6223241668533159,0.15139876497938923,0.5945678970344344,0.3272430103301224,0.9585520870117806,0.7678646314614698,0.19850146137961483,0.8275541961193085,0.17454415559768677,0.9989251494407654,0.4101600947036489,0.2659090777332927,0.3333333333333333,0.0,1.0
6,1140,20,0.600008935636734,0.16080424587440534,0.5492503389824301,0.3209672013268341,0.9573667434436629,0.7411056006686729,0.2010718178188589,0.7623985707759857,0.1371772140264511,0.9988047480583191,0.38118984609462,0.2728402171388221,0.2903225806451613,0.0,1.0
7,1330,20,0.579833016850994,0.1628195742237452,0.5256273975680972,0.29779062092777986,0.9567245176835624,0.7281210912797684,0.2045523728598188,0.7427579462528229,0.16294023394584656,0.999214768409729,0.3625552089333606,0.27397896480512035,0.25,0.0,1.0
8,1520,20,0.5574780217432066,0.15750158496036976,0.5052067618352984,0.2651097813686827,1.0,0.7014140237220808,0.2028472706982636,0.6915183365345001,0.1366179883480072,1.0000001192092896,0.3317274364074925,0.2623340671365761,0.25,0.0,1.0
9,1710,20,0.5444394821009372,0.15935478605201966,0.49558717260858315,0.252556533521865,1.0,0.6936096934285777,0.2084943169909416,0.6932418048381805,0.13173554837703705,1.0000001192092896,0.33172445762552144,0.26393080077115005,0.25,0.0,1.0
10,1900,20,0.5312778566583494,0.16005705699823547,0.48013913316363543,0.26038855718571097,1.0,0.6816733206181149,0.20135547214590377,0.6759165227413177,0.1343005895614624,1.0000001192092896,0.3143052299165283,0.2517279101240467,0.21212121212121213,0.0,1.0
11,2090,20,0.5133132257148743,0.1554547425580793,0.46853846888246214,0.20408208078030132,1.0,0.6648167430142466,0.20137719207571056,0.652034729719162,0.06904919445514679,1.0000001192092896,0.3045670383568323,0.24238865118066677,0.21212121212121213,0.0,1.0
12,2280,20,0.5080967290621304,0.15625617299327277,0.46548161175446945,0.20300188338078495,1.0,0.6632164975383172,0.20262528354940842,0.656771332025528,0.057724323123693466,0.9999998807907104,0.2978450317233354,0.239234452508392,0.21212121212121213,0.0,1.0
13,2470,20,0.5038381203652457,0.15866902262591043,0.46395901851961313,0.2212297770074655,1.0,0.658677996254643,0.2104670700460478,0.6629449427127838,0.07294439524412155,1.0000001192092896,0.29551986484490056,0.2386102285716904,0.21212121212121213,0.0,1.0
14,2660,20,0.5010511362402644,0.16293254744588728,0.45739267656781263,0.19369009198269016,1.0,0.6477101936530237,0.2117615400723898,0.6491342186927795,0.03773006424307823,1.0000001192092896,0.2913656286713782,0.24579091201379263,0.21212121212121213,0.0,1.0
15,2850,20,0.49925838343650836,0.1655833475670213,0.45095629537249615,0.20050549607335466,1.0,0.643113656893634,0.21183462962327693,0.6339033544063568,0.0645052045583725,1.0000001192092896,0.290474215567113,0.24556208085825026,0.21212121212121213,0.0,1.0
16,3040,20,0.4993561373383923,0.17391923884498287,0.45055013061499055,0.18745452046892364,1.0,0.6488561483271617,0.21329713642704182,0.646116703748703,0.0355948880314827,1.0000001192092896,0.2948703147922768,0.24736589869257536,0.21212121212121213,0.0,1.0
17,3230,20,0.5073050163426991,0.1852099080213465,0.4488289545311085,0.16330107448405606,1.0,0.6534815490983957,0.21344606716556613,0.6374364793300629,0.07719708979129791,1.0000001192092896,0.30147138999822093,0.25666559089866137,0.21212121212121213,0.0,1.0
18,3420,20,0.5004398901190908,0.18032815704715302,0.4473431366732503,0.19285238019335715,1.0,0.6514085968281006,0.21462577886403214,0.6452159285545349,0.05752042308449745,1.0000001192092896,0.3054517037469645,0.25391867194478607,0.25,0.0,1.0
19,3610,20,0.5005441727598674,0.18550040216468014,0.44789278948434,0.1884695897251797,1.0,0.648080021006744,0.21668250679047504,0.6462461054325104,0.069005586206913,1.0000001192092896,0.2936034307541272,0.24908719814863006,0.21212121212121213,0.0,1.0
20,3800,20,0.50485365219443,0.195634098588032,0.44767686627860515,0.18626722619484215,1.0,0.6491868844687154,0.22479679390100882,0.6531033217906952,0.06187007576227188,1.0000001192092896,0.3047225882534414,0.26044932352548034,0.21212121212121213,0.0,1.0
