no_below,no_above,vocab_size,mean_c_v,mean_c_npmi,stability,diversity,redundancy,thin_topics,zero_dominance
2,0.5,1079.0,0.3819218973341812,-0.1450725201688733,0.5661988981224996,0.6666666666666666,0.0747566530787708,2.6666666666666665,0.39999999999999997
2,0.6,1082.0,0.3703256834706072,-0.12801752998111027,0.5607203411351086,0.6551111111111111,0.09318802155281396,1.9333333333333333,0.13333333333333333
2,0.7,1086.0,0.4015896330921805,-0.09821208736988184,0.5533363876442671,0.6186666666666666,0.11853396061442263,2.6,0.39999999999999997
2,0.75,1088.0,0.40148482997100093,-0.08625615496962986,0.5802156849544672,0.5757777777777777,0.1525548833474909,2.733333333333333,0.39999999999999997
2,0.8,1091.0,0.4201176806341303,-0.060866209312965,0.5836119710674185,0.5367777777777778,0.18168855858934943,3.266666666666667,0.8666666666666667
2,0.85,1091.0,0.4201176806341303,-0.060866209312965,0.5836119710674185,0.5367777777777778,0.18168855858934943,3.266666666666667,0.8666666666666667
2,0.9,1091.0,0.4201176806341303,-0.060866209312965,0.5836119710674185,0.5367777777777778,0.18168855858934943,3.266666666666667,0.8666666666666667
2,0.95,1092.0,0.44432333272868285,-0.054049157946514104,0.5736391757004159,0.5053333333333333,0.21755306893796447,3.733333333333333,0.8000000000000002
2,1.0,1092.0,0.44432333272868285,-0.054049157946514104,0.5736391757004159,0.5053333333333333,0.21755306893796447,3.733333333333333,0.8000000000000002
3,0.5,716.0,0.36400566336539625,-0.1474294586711895,0.5512524237965789,0.6699999999999999,0.07277637037118756,2.1333333333333333,0.3333333333333333
3,0.6,719.0,0.3745846139171895,-0.13030042477487558,0.549977145928155,0.6398888888888888,0.09305513040586015,2.1999999999999997,0.06666666666666667
3,0.7,723.0,0.401907037647296,-0.08358668314318474,0.5672249550109639,0.5950000000000001,0.1325007838410591,2.533333333333333,0.4000000000000001
3,0.75,725.0,0.40138118690597385,-0.07348394290051273,0.5658966495179636,0.5737777777777778,0.1526489405753953,2.8666666666666667,0.20000000000000004
3,0.8,728.0,0.43006305879197065,-0.05912349025288157,0.5666903403108918,0.5323333333333333,0.19557659438292227,3.3333333333333335,0.3333333333333333
3,0.85,728.0,0.43006305879197065,-0.05912349025288157,0.5666903403108918,0.5323333333333333,0.19557659438292227,3.3333333333333335,0.3333333333333333
3,0.9,728.0,0.43006305879197065,-0.05912349025288157,0.5666903403108918,0.5323333333333333,0.19557659438292227,3.3333333333333335,0.3333333333333333
3,0.95,729.0,0.4324023309821409,-0.05632917114481357,0.5862198627522633,0.5223333333333334,0.19708969499908888,3.9333333333333336,0.8666666666666667
3,1.0,729.0,0.4324023309821409,-0.05632917114481357,0.5862198627522633,0.5223333333333334,0.19708969499908888,3.9333333333333336,0.8666666666666667
4,0.5,528.0,0.37452097896594544,-0.14201679961346256,0.5494727424859366,0.660888888888889,0.07351988934970739,2.0,0.13333333333333333
4,0.6,531.0,0.3806669906928691,-0.1311157413882594,0.5588854252854012,0.6458888888888888,0.08668303722402913,2.6666666666666665,0.39999999999999997
4,0.7,535.0,0.40475282921082284,-0.08584520319283517,0.5836934843970139,0.5894444444444443,0.1167393197019043,3.1333333333333333,0.7333333333333334
4,0.75,537.0,0.4258791739946069,-0.06443682701941172,0.5810310008752227,0.5543333333333332,0.1551068972546773,4.2,0.6666666666666666
4,0.8,540.0,0.44411334181976975,-0.04960269705132587,0.5679260980026298,0.5276666666666666,0.1842889332007238,2.733333333333333,0.39999999999999997
4,0.85,540.0,0.44411334181976975,-0.04960269705132587,0.5679260980026298,0.5276666666666666,0.1842889332007238,2.733333333333333,0.39999999999999997
4,0.9,540.0,0.44411334181976975,-0.04960269705132587,0.5679260980026298,0.5276666666666666,0.1842889332007238,2.733333333333333,0.39999999999999997
4,0.95,541.0,0.4366027092409632,-0.0529855008371612,0.5846210667631189,0.5342222222222223,0.17673377133822463,3.8000000000000003,0.9333333333333332
4,1.0,541.0,0.4366027092409632,-0.0529855008371612,0.5846210667631189,0.5342222222222223,0.17673377133822463,3.8000000000000003,0.9333333333333332
5,0.5,397.0,0.3832040907110439,-0.1358279787295628,0.5761291060017032,0.6544444444444445,0.07489608065262883,1.8,0.06666666666666667
5,0.6,400.0,0.385701821360112,-0.1162117454892559,0.5608001950437358,0.6275555555555555,0.09176156411318016,2.3333333333333335,0.3333333333333333
5,0.7,404.0,0.4124975752887868,-0.07781742701181114,0.5810615751976127,0.5890000000000001,0.1220813024234077,2.2,0.26666666666666666
5,0.75,406.0,0.4237200154383764,-0.07214916924856611,0.5783059215750503,0.5825555555555556,0.12975392445243403,2.9333333333333336,0.7333333333333334
5,0.8,409.0,0.4431556747191457,-0.05375934748514124,0.5955619225743382,0.5414444444444445,0.16339725826532456,3.1333333333333333,0.7999999999999999
5,0.85,409.0,0.4431556747191457,-0.05375934748514124,0.5955619225743382,0.5414444444444445,0.16339725826532456,3.1333333333333333,0.7999999999999999
5,0.9,409.0,0.4431556747191457,-0.05375934748514124,0.5955619225743382,0.5414444444444445,0.16339725826532456,3.1333333333333333,0.7999999999999999
5,0.95,410.0,0.4517621834151629,-0.05064385856370324,0.592111405264983,0.5173333333333333,0.1855220264065307,4.066666666666666,0.9333333333333335
5,1.0,410.0,0.4517621834151629,-0.05064385856370324,0.592111405264983,0.5173333333333333,0.1855220264065307,4.066666666666666,0.9333333333333335
