no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
2,0.5,5,1079,11138,168.75757575757575,93.0,37,3007,0,0.3948280841410331,-0.13178628817515625,0.6256116097424964,0.772,0.08068197275627616,0.2,0.0
2,0.5,10,1079,11138,168.75757575757575,93.0,37,3007,0,0.38401404677424644,-0.14125183896931875,0.5480162579684549,0.64,0.07843840092649973,2.6,0.2
2,0.5,15,1079,11138,168.75757575757575,93.0,37,3007,0,0.3669235610872642,-0.16217943336214502,0.5249688266565473,0.5880000000000001,0.0651495855535366,5.2,1.0
2,0.6,5,1082,11567,175.25757575757575,95.0,37,3186,0,0.36747827209788536,-0.10554399295505676,0.6324303564555773,0.722,0.11922906113458395,0.2,0.0
2,0.6,10,1082,11567,175.25757575757575,95.0,37,3186,0,0.36808185535785615,-0.1332514527565813,0.544496006580468,0.646,0.08877197815278311,1.8,0.0
2,0.6,15,1082,11567,175.25757575757575,95.0,37,3186,0,0.37541692295608015,-0.14525714423169286,0.5052346603692807,0.5973333333333333,0.07156302537107491,3.8,0.4
2,0.7,5,1086,12114,183.54545454545453,102.5,37,3272,0,0.40645857302779,-0.07395410255905202,0.6166151563695552,0.6980000000000001,0.14482182276599534,0.2,0.0
2,0.7,10,1086,12114,183.54545454545453,102.5,37,3272,0,0.40346378793049664,-0.10306587934197764,0.5372548058363837,0.602,0.11347781975366114,1.8,0.0
2,0.7,15,1086,12114,183.54545454545453,102.5,37,3272,0,0.394846538318255,-0.11761628020861596,0.5061392007268621,0.5559999999999999,0.09730223932361154,5.8,1.2
2,0.75,5,1088,12587,190.71212121212122,107.0,37,3393,0,0.42087555852289454,-0.06713702331729951,0.6668593664610318,0.6399999999999999,0.1866199397698449,1.0,0.0
2,0.75,10,1088,12587,190.71212121212122,107.0,37,3393,0,0.40132453416596103,-0.08690812833714437,0.5574869734821001,0.558,0.14885799635187502,1.6,0.6
