alpha,eta,k,mean_seed_stability
auto,auto,5,0.6479855928000074
auto,auto,10,0.5504559543388072
auto,auto,15,0.503120460096268
auto,symmetric,5,0.6479855928000074
auto,symmetric,10,0.5504559543388072
auto,symmetric,15,0.503120460096268
symmetric,auto,5,0.6431083162567155
symmetric,auto,10,0.5496998288980058
symmetric,auto,15,0.5027229040091881
symmetric,symmetric,5,0.6431083162567155
symmetric,symmetric,10,0.5496998288980058
symmetric,symmetric,15,0.5027229040091881
asymmetric,auto,5,0.6395728606205989
asymmetric,auto,10,0.5458392659156913
asymmetric,auto,15,0.5069043215986226
asymmetric,symmetric,5,0.6395728606205989
asymmetric,symmetric,10,0.5458392659156913
asymmetric,symmetric,15,0.5069043215986226
