rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
0,0,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S23;S24;S25;S26;S27;S28;S29;S31;S32;S34;S35;S36;S38;S41;S43;S42;S44;S45;S62;S63;S49;S50;S51;S64;S52;S54;S55;S56;S57;S59;S60,0.5853778510209245,0.15623973828776003,0.22696325188193267
1,1,53,S71;S66;S70;S65;S03;S05;S06;S07;S08;S09;S11;S12;S13;S14;S15;S18;S19;S20;S22;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S49;S50;S51;S64;S54;S55;S56;S57;S58;S60,0.5768474969645091,0.016487888722666072,0.14635364090505473
2,2,53,S71;S66;S70;S01;S02;S05;S06;S08;S09;S11;S14;S15;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S63;S47;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5911918648885373,0.02595208688462677,0.11565135343396855
3,3,53,S71;S66;S70;S65;S01;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S16;S17;S20;S21;S22;S23;S24;S25;S27;S28;S29;S30;S31;S32;S34;S35;S38;S39;S40;S42;S45;S46;S62;S63;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.666917898495434,0.1686269523894056,0.26583146846802236
4,4,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S22;S23;S25;S61;S27;S28;S29;S30;S31;S32;S34;S35;S36;S40;S41;S42;S44;S45;S46;S62;S47;S49;S64;S53;S54;S56;S57;S58;S59;S60,0.6287520343865394,0.17933147020417128,0.2907484438245583
5,5,53,S71;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S13;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S29;S30;S31;S33;S34;S35;S38;S39;S41;S43;S42;S44;S46;S62;S63;S47;S48;S49;S64;S53;S54;S55;S56;S57;S58;S59;S60,0.6195157304857737,0.06499407769216765,0.18941832863594044
6,6,53,S71;S66;S70;S65;S02;S03;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S40;S41;S43;S42;S44;S45;S46;S62;S47;S49;S50;S51;S64;S53;S54;S55;S56;S57;S60,0.6363786479240771,0.07082111592162509,0.20636314670512898
7,7,53,S70;S65;S01;S02;S03;S05;S06;S07;S09;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S23;S24;S25;S27;S28;S29;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S45;S46;S62;S63;S47;S48;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5293788155625332,0.15999348419790732,0.21645324601605143
8,8,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S10;S11;S12;S13;S14;S15;S17;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S35;S38;S39;S41;S42;S44;S45;S46;S62;S63;S47;S48;S50;S64;S53;S54;S55;S56;S57;S58;S60,0.6468866600145684,0.14737701775047743,0.21112573616733699
9,9,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S08;S09;S10;S11;S13;S14;S15;S16;S19;S20;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S48;S50;S51;S64;S52;S53;S54;S57;S58;S59,0.6198031529138497,0.2110847922803276,0.3729077221186636
10,10,53,S71;S66;S70;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S20;S21;S22;S24;S25;S61;S26;S27;S28;S30;S31;S33;S34;S35;S36;S39;S40;S41;S42;S45;S46;S63;S47;S48;S49;S50;S64;S52;S53;S54;S56;S58;S60,0.6354715508429827,0.287830440001171,0.3680939979858164
11,11,53,S71;S70;S65;S01;S02;S03;S05;S07;S08;S09;S10;S12;S13;S14;S16;S17;S18;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S45;S46;S62;S63;S47;S48;S50;S52;S53;S54;S55;S56;S57;S59;S60,0.5795067701666049,0.02636131477057418,0.1620706779250832
12,12,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S08;S10;S11;S12;S14;S15;S19;S21;S22;S23;S24;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S45;S46;S63;S47;S50;S51;S64;S52;S54;S55;S56;S57;S58;S59;S60,0.6111350264205501,0.15722604673707025,0.27629454287640093
