representation,k,rep,sampling_seed,n_sampled,js_similarity,ari,nmi,thin_topics_lt5,zero_topics,normalized_entropy,entropy_delta,wall_seconds
metadata,3,1,1,53,0.82115,1.0,1.0,0,0,0.98782,-0.00967,0.2
metadata,3,2,2,53,0.78723,0.55783,0.56355,0,0,0.99212,-0.00537,0.2
metadata,3,3,3,53,0.83207,0.73604,0.76148,0,0,0.9865,-0.01099,0.2
metadata,3,4,4,53,0.82687,0.69939,0.66587,0,0,0.99771,0.00022,0.2
metadata,3,5,5,53,0.85871,0.77536,0.75626,0,0,0.99467,-0.00282,0.2
metadata,3,6,6,53,0.79132,0.62011,0.60241,0,0,0.99771,0.00022,0.2
metadata,3,7,7,53,0.84302,0.78452,0.73692,0,0,0.99585,-0.00164,0.2
metadata,3,8,8,53,0.87886,0.94175,0.93314,0,0,0.99967,0.00218,0.2
metadata,3,9,9,53,0.85315,1.0,1.0,0,0,0.99967,0.00218,0.2
metadata,3,10,10,53,0.89979,0.88107,0.88758,0,0,0.99105,-0.00644,0.2
metadata,3,11,11,53,0.80419,0.88729,0.86689,0,0,0.99376,-0.00372,0.2
metadata,3,12,12,53,0.86253,0.89086,0.86778,0,0,0.99585,-0.00164,0.2
metadata,3,13,13,53,0.84492,0.94026,0.93252,0,0,0.99771,0.00022,0.2
metadata,3,14,14,53,0.87496,0.94019,0.93256,0,0,0.99771,0.00022,0.2
metadata,3,15,15,53,0.82176,0.78602,0.75872,0,0,0.98428,-0.01321,0.2
metadata,3,16,16,53,0.87001,0.88384,0.88891,0,0,0.99585,-0.00164,0.2
metadata,3,17,17,53,0.82911,0.67809,0.62754,0,0,0.99376,-0.00372,0.2
metadata,3,18,18,53,0.82375,0.63448,0.62048,0,0,0.99771,0.00022,0.2
metadata,3,19,19,53,0.79795,0.75197,0.76699,0,0,0.99967,0.00218,0.2
metadata,3,20,20,53,0.84156,0.89148,0.86728,0,0,0.9865,-0.01099,0.2
metadata,3,21,21,53,0.84906,0.70827,0.69203,0,0,0.99376,-0.00372,0.2
metadata,3,22,22,53,0.73092,0.48505,0.5594,0,0,0.99105,-0.00644,0.2
metadata,3,23,23,53,0.84131,0.68286,0.6829,0,0,0.99212,-0.00537,0.2
metadata,3,24,24,53,0.8678,0.88529,0.86666,0,0,0.99771,0.00022,0.2
metadata,3,25,25,53,0.81543,0.71782,0.69329,0,0,0.98428,-0.01321,0.2
metadata,3,26,26,53,0.86294,0.85363,0.82763,0,0,0.97982,-0.01767,0.2
metadata,3,27,27,53,0.86235,0.84132,0.82485,0,0,0.99105,-0.00644,0.2
metadata,3,28,28,53,0.78229,0.66849,0.66696,0,0,0.99771,0.00022,0.2
metadata,3,29,29,53,0.85299,0.88729,0.86689,0,0,0.99771,0.00022,0.2
metadata,3,30,30,53,0.84128,0.77637,0.75716,0,0,0.99105,-0.00644,0.2
metadata,3,31,31,53,0.86007,0.93773,0.93094,0,0,0.98782,-0.00967,0.2
metadata,3,32,32,53,0.83323,0.89723,0.8699,0,0,0.99585,-0.00164,0.2
metadata,3,33,33,53,0.88615,0.89245,0.86841,0,0,0.99376,-0.00372,0.2
metadata,3,34,34,53,0.87556,0.89086,0.86789,0,0,0.99376,-0.00372,0.2
metadata,3,35,35,53,0.84896,0.77863,0.73602,0,0,0.99967,0.00218,0.2
metadata,3,36,36,53,0.85978,0.93892,0.93179,0,0,0.99376,-0.00372,0.2
metadata,3,37,37,53,0.86425,0.78988,0.75834,0,0,0.9755,-0.02198,0.2
metadata,3,38,38,53,0.77917,0.54722,0.58901,0,0,0.99467,-0.00282,0.2
metadata,3,39,39,53,0.83914,0.78368,0.78078,0,0,0.9865,-0.01099,0.2
metadata,3,40,40,53,0.87617,0.77994,0.75817,0,0,0.99771,0.00022,0.2
metadata,3,41,41,53,0.8454,0.83912,0.80311,0,0,0.99771,0.00022,0.2
metadata,3,42,42,53,0.82084,0.67665,0.65778,0,0,0.9865,-0.01099,0.2
metadata,3,43,43,53,0.8533,0.89559,0.89111,0,0,0.97309,-0.0244,0.2
metadata,3,44,44,53,0.86525,0.83874,0.82615,0,0,0.99771,0.00022,0.2
metadata,3,45,45,53,0.80429,0.60219,0.62886,0,0,0.99771,0.00022,0.2
metadata,3,46,46,53,0.86948,0.84025,0.82521,0,0,0.9824,-0.01509,0.2
metadata,3,47,47,53,0.86516,0.949,0.9346,0,0,0.99105,-0.00644,0.2
metadata,3,48,48,53,0.84052,0.79494,0.78584,0,0,0.99376,-0.00372,0.2
metadata,3,49,49,53,0.73815,0.4466,0.51337,0,0,0.95252,-0.04497,0.2
metadata,3,50,50,53,0.85096,0.72294,0.71206,0,0,0.97895,-0.01854,0.2
metadata,3,51,51,53,0.78764,0.64605,0.63868,0,0,0.96156,-0.03592,0.2
metadata,3,52,52,53,0.86784,0.83113,0.8003,0,0,0.99212,-0.00537,0.2
metadata,3,53,53,53,0.87107,1.0,1.0,0,0,0.99771,0.00022,0.2
metadata,3,54,54,53,0.87943,0.94215,0.93292,0,0,0.99105,-0.00644,0.2
metadata,3,55,55,53,0.82023,0.79613,0.76215,0,0,0.9824,-0.01509,0.2
metadata,3,56,56,53,0.8538,0.79066,0.79296,0,0,0.99771,0.00022,0.2
metadata,3,57,57,53,0.87029,0.88848,0.86777,0,0,0.99967,0.00218,0.2
metadata,3,58,58,53,0.77235,0.54198,0.57384,0,0,0.99467,-0.00282,0.2
metadata,3,59,59,53,0.86636,0.78548,0.75735,0,0,0.97476,-0.02273,0.2
metadata,3,60,60,53,0.82713,0.73117,0.72521,0,0,0.99376,-0.00372,0.2
metadata,3,61,61,53,0.78132,0.60847,0.61739,0,0,0.98958,-0.00791,0.2
metadata,3,62,62,53,0.87031,1.0,1.0,0,0,0.99771,0.00022,0.2
metadata,3,63,63,53,0.85147,0.88848,0.86777,0,0,0.99872,0.00123,0.2
metadata,3,64,64,53,0.83027,0.6428,0.65293,0,0,0.99585,-0.00164,0.2
metadata,3,65,65,53,0.82471,0.73179,0.71711,0,0,0.99771,0.00022,0.2
metadata,3,66,66,53,0.82458,0.74142,0.69773,0,0,0.99376,-0.00372,0.2
metadata,3,67,67,53,0.84578,0.73512,0.72578,0,0,0.98958,-0.00791,0.2
metadata,3,68,68,53,0.79077,0.62784,0.67542,0,0,0.99967,0.00218,0.2
metadata,3,69,69,53,0.75629,0.64027,0.67685,0,0,0.99967,0.00218,0.2
metadata,3,70,70,53,0.80832,0.73841,0.69633,0,0,0.99467,-0.00282,0.2
metadata,3,71,71,53,0.85548,0.9396,0.93141,0,0,0.9801,-0.01739,0.2
metadata,3,72,72,53,0.8694,0.71125,0.72903,0,0,0.99376,-0.00372,0.2
metadata,3,73,73,53,0.83636,0.68062,0.63056,0,0,0.99967,0.00218,0.2
metadata,3,74,74,53,0.78425,0.66678,0.69555,0,0,0.99105,-0.00644,0.2
metadata,3,75,75,53,0.80066,0.80424,0.79481,0,0,0.97309,-0.0244,0.2
metadata,3,76,76,53,0.74934,0.50268,0.51583,0,0,0.99467,-0.00282,0.2
metadata,3,77,77,53,0.86073,0.8916,0.86747,0,0,0.98782,-0.00967,0.2
metadata,3,78,78,53,0.84843,0.78095,0.78974,0,0,0.99771,0.00022,0.2
metadata,3,79,79,53,0.86533,0.86325,0.86158,0,0,0.97309,-0.0244,0.2
metadata,3,80,80,53,0.83347,0.6917,0.68659,0,0,0.99376,-0.00372,0.2
metadata,3,81,81,53,0.85908,0.88556,0.86644,0,0,0.99467,-0.00282,0.2
metadata,3,82,82,53,0.83042,0.88542,0.88827,0,0,0.97895,-0.01854,0.2
metadata,3,83,83,53,0.83178,0.89086,0.86789,0,0,0.99376,-0.00372,0.2
metadata,3,84,84,53,0.83546,0.84012,0.82679,0,0,0.99967,0.00218,0.2
metadata,3,85,85,53,0.79229,0.69465,0.6802,0,0,0.99872,0.00123,0.2
metadata,3,86,86,53,0.86807,0.89404,0.86892,0,0,0.99467,-0.00282,0.2
metadata,3,87,87,53,0.81555,0.64736,0.63554,0,0,0.99771,0.00022,0.2
metadata,3,88,88,53,0.87643,0.89099,0.89073,0,0,0.98782,-0.00967,0.2
metadata,3,89,89,53,0.80605,0.63993,0.63317,0,0,0.99771,0.00022,0.2
metadata,3,90,90,53,0.84649,0.84299,0.82647,0,0,0.99105,-0.00644,0.2
metadata,3,91,91,53,0.78271,0.60278,0.57608,0,0,0.97309,-0.0244,0.2
metadata,3,92,92,53,0.84964,0.94514,0.93406,0,0,0.99872,0.00123,0.2
metadata,3,93,93,53,0.85783,0.89412,0.86701,0,0,0.9755,-0.02198,0.2
metadata,3,94,94,53,0.85162,0.88451,0.8655,0,0,0.98958,-0.00791,0.2
metadata,3,95,95,53,0.86565,0.94338,0.93365,0,0,0.99967,0.00218,0.2
metadata,3,96,96,53,0.80637,0.64197,0.59152,0,0,0.99376,-0.00372,0.2
metadata,3,97,97,53,0.85433,0.88689,0.8672,0,0,0.99771,0.00022,0.2
metadata,3,98,98,53,0.78017,0.54639,0.58185,0,0,0.99967,0.00218,0.2
metadata,3,99,99,53,0.79106,0.65523,0.62715,0,0,0.99771,0.00022,0.2
metadata,3,100,100,53,0.84356,0.84088,0.82647,0,0,0.99771,0.00022,0.2
